,lat,lon,stationname,year,u_mean,v_mean
0,51.442,3.596,VLISSINGEN,1940-12-31,1.1120842348632813,0.560017191684723
1,51.442,3.596,VLISSINGEN,1941-12-31,0.8245467819671631,0.393787128578186
2,51.442,3.596,VLISSINGEN,1942-12-31,0.6823170530052185,0.5766551084213257
3,51.442,3.596,VLISSINGEN,1943-12-31,1.4727577749786378,0.5800111815452575
4,51.442,3.596,VLISSINGEN,1944-12-31,1.4820397280578614,-0.052129849890038424
5,51.442,3.596,VLISSINGEN,1945-12-31,1.4380041075973513,0.41161782977104183
6,51.442,3.596,VLISSINGEN,1946-12-31,0.9657342018470765,0.8789353364601136
7,51.442,3.596,VLISSINGEN,1947-12-31,0.38219908585929874,0.1139320240602493
8,51.442,3.596,VLISSINGEN,1948-12-31,1.3840407762145996,1.0794958633117677
9,51.442,3.596,VLISSINGEN,1949-12-31,1.4307381705627442,0.2809465699100494
10,51.442,3.596,VLISSINGEN,1950-12-31,1.5804524360961918,1.1640993037490845
11,51.442,3.596,VLISSINGEN,1951-12-31,1.03580400189209,1.1892366009750366
12,51.442,3.596,VLISSINGEN,1952-12-31,1.3552898563461304,0.2215586500759124
13,51.442,3.596,VLISSINGEN,1953-12-31,1.2182113277282716,0.45248338178825376
14,51.442,3.596,VLISSINGEN,1954-12-31,1.9053109321899417,0.8808315948677062
15,51.442,3.596,VLISSINGEN,1955-12-31,0.870633128490448,-0.3477941382837296
16,51.442,3.596,VLISSINGEN,1956-12-31,1.0046679839172366,-0.03484241226804261
17,51.442,3.596,VLISSINGEN,1957-12-31,1.1288382907714845,0.38103868023681636
18,51.442,3.596,VLISSINGEN,1958-12-31,1.212033346633911,0.6041062588233947
19,51.442,3.596,VLISSINGEN,1959-12-31,0.38368822794914254,0.45547147122001647
20,51.442,3.596,VLISSINGEN,1960-12-31,0.9306114036865235,0.8012471674842835
21,51.442,3.596,VLISSINGEN,1961-12-31,1.6701113142700197,0.682037748134613
22,51.442,3.596,VLISSINGEN,1962-12-31,1.5140363728027346,0.07878969199848171
23,51.442,3.596,VLISSINGEN,1963-12-31,0.6416616580009461,0.7887547961616516
24,51.442,3.596,VLISSINGEN,1964-12-31,0.9551712419128418,0.29400319231987
25,51.442,3.596,VLISSINGEN,1965-12-31,1.4967461541824343,0.32437556187438965
26,51.442,3.596,VLISSINGEN,1966-12-31,1.5098818872070314,0.6192945110282898
27,51.442,3.596,VLISSINGEN,1967-12-31,2.2330680605468753,1.0292885870666504
28,51.442,3.596,VLISSINGEN,1968-12-31,0.848016962917328,0.3445151437377929
29,51.442,3.596,VLISSINGEN,1969-12-31,0.6266061141014099,0.07096392455387107
30,51.442,3.596,VLISSINGEN,1970-12-31,1.6477213866653444,0.41602966497993465
31,51.442,3.596,VLISSINGEN,1971-12-31,0.734335206905365,0.18158217495632167
32,51.442,3.596,VLISSINGEN,1972-12-31,0.5388188268585206,0.5821280732116698
33,51.442,3.596,VLISSINGEN,1973-12-31,1.5345244332962038,-0.2608414606790544
34,51.442,3.596,VLISSINGEN,1974-12-31,1.794429227294922,0.6368827785949707
35,51.442,3.596,VLISSINGEN,1975-12-31,0.7853359150695801,0.17198299733352654
36,51.442,3.596,VLISSINGEN,1976-12-31,0.5262695877285004,0.12281220415878291
37,51.442,3.596,VLISSINGEN,1977-12-31,1.3823073119049074,0.736409936870575
38,51.442,3.596,VLISSINGEN,1978-12-31,1.3334701205062869,0.5363552581329345
39,51.442,3.596,VLISSINGEN,1979-12-31,1.3865337342147828,0.9596577827415467
40,51.442,3.596,VLISSINGEN,1980-12-31,1.3722273620224,0.3922646317806243
41,51.442,3.596,VLISSINGEN,1981-12-31,1.644780517692566,0.34398824948692314
42,51.442,3.596,VLISSINGEN,1982-12-31,1.2142485384597779,1.0236078522720335
43,51.442,3.596,VLISSINGEN,1983-12-31,1.5600888498535157,0.660630314731598
44,51.442,3.596,VLISSINGEN,1984-12-31,1.167476031089783,0.3927849730167388
45,51.442,3.596,VLISSINGEN,1985-12-31,1.3004756205520631,0.8701902632255555
46,51.442,3.596,VLISSINGEN,1986-12-31,1.2924200675506592,0.7720766867370605
47,51.442,3.596,VLISSINGEN,1987-12-31,0.8905528622169496,0.4098714076156616
48,51.442,3.596,VLISSINGEN,1988-12-31,1.7847093824157716,0.5636026163825988
49,51.442,3.596,VLISSINGEN,1989-12-31,1.1779152842788698,0.6536307489585876
50,51.442,3.596,VLISSINGEN,1990-12-31,1.9745070741043094,0.9165516643486025
51,51.442,3.596,VLISSINGEN,1991-12-31,1.02663588331604,0.4374544064331055
52,51.442,3.596,VLISSINGEN,1992-12-31,1.5544858292541508,0.7151299870605469
53,51.442,3.596,VLISSINGEN,1993-12-31,1.167830656677246,0.5059731561889649
54,51.442,3.596,VLISSINGEN,1994-12-31,1.6417772451248172,1.0374871751327515
55,51.442,3.596,VLISSINGEN,1995-12-31,1.1895941036148072,0.18012922234916678
56,51.442,3.596,VLISSINGEN,1996-12-31,0.13024434539031982,0.11930398105144499
57,51.442,3.596,VLISSINGEN,1997-12-31,0.7193707741928101,0.703784261920929
