# GTSM surge annual means
# Source: GTSMv3 forced with ERA5 reanalysis (https://doi.org/10.24381/cds.a6d42d60)
# Script: /analysis/gtsm/get_monthly_means_surge.ipynb
# Units: m
# Created: 2026-07-29
t,name,ddl_id,surge
1950,Delfzijl,DELFZL,0.076
1951,Delfzijl,DELFZL,0.055
1952,Delfzijl,DELFZL,0.069
1953,Delfzijl,DELFZL,0.035
1954,Delfzijl,DELFZL,0.08
1955,Delfzijl,DELFZL,0.069
1956,Delfzijl,DELFZL,0.047
1957,Delfzijl,DELFZL,0.06
1958,Delfzijl,DELFZL,0.054
1959,Delfzijl,DELFZL,0.012
1960,Delfzijl,DELFZL,0.033
1961,Delfzijl,DELFZL,0.08
1962,Delfzijl,DELFZL,0.074
1963,Delfzijl,DELFZL,0.025
1964,Delfzijl,DELFZL,0.031
1965,Delfzijl,DELFZL,0.08
1966,Delfzijl,DELFZL,0.063
1967,Delfzijl,DELFZL,0.113
1968,Delfzijl,DELFZL,0.041
1969,Delfzijl,DELFZL,0.024
1970,Delfzijl,DELFZL,0.07
1971,Delfzijl,DELFZL,0.041
1972,Delfzijl,DELFZL,0.006
1973,Delfzijl,DELFZL,0.09
1974,Delfzijl,DELFZL,0.087
1975,Delfzijl,DELFZL,0.041
1976,Delfzijl,DELFZL,0.026
1977,Delfzijl,DELFZL,0.073
1978,Delfzijl,DELFZL,0.053
1979,Delfzijl,DELFZL,0.042
1980,Delfzijl,DELFZL,0.047
1981,Delfzijl,DELFZL,0.087
1982,Delfzijl,DELFZL,0.059
1983,Delfzijl,DELFZL,0.104
1984,Delfzijl,DELFZL,0.043
1985,Delfzijl,DELFZL,0.054
1986,Delfzijl,DELFZL,0.058
1987,Delfzijl,DELFZL,0.025
1988,Delfzijl,DELFZL,0.089
1989,Delfzijl,DELFZL,0.075
1990,Delfzijl,DELFZL,0.129
1991,Delfzijl,DELFZL,0.048
1992,Delfzijl,DELFZL,0.066
1993,Delfzijl,DELFZL,0.051
1994,Delfzijl,DELFZL,0.082
1995,Delfzijl,DELFZL,0.07
1996,Delfzijl,DELFZL,-0.022
1997,Delfzijl,DELFZL,0.033
1998,Delfzijl,DELFZL,0.096
1999,Delfzijl,DELFZL,0.092
2000,Delfzijl,DELFZL,0.08
2001,Delfzijl,DELFZL,0.063
2002,Delfzijl,DELFZL,0.038
2003,Delfzijl,DELFZL,0.032
2004,Delfzijl,DELFZL,0.076
2005,Delfzijl,DELFZL,0.056
2006,Delfzijl,DELFZL,0.063
2007,Delfzijl,DELFZL,0.095
2008,Delfzijl,DELFZL,0.083
2009,Delfzijl,DELFZL,0.047
2010,Delfzijl,DELFZL,0.025
2011,Delfzijl,DELFZL,0.076
2012,Delfzijl,DELFZL,0.061
2013,Delfzijl,DELFZL,0.03
2014,Delfzijl,DELFZL,0.052
2015,Delfzijl,DELFZL,0.095
2016,Delfzijl,DELFZL,0.036
2017,Delfzijl,DELFZL,0.088
2018,Delfzijl,DELFZL,0.016
2019,Delfzijl,DELFZL,0.067
2020,Delfzijl,DELFZL,0.072
2021,Delfzijl,DELFZL,0.042
2022,Delfzijl,DELFZL,0.061
2023,Delfzijl,DELFZL,0.083
2024,Delfzijl,DELFZL,0.073
2025,Delfzijl,DELFZL,0.039
1950,Den Helder,DENHDR,0.072
1951,Den Helder,DENHDR,0.054
1952,Den Helder,DENHDR,0.058
1953,Den Helder,DENHDR,0.02
1954,Den Helder,DENHDR,0.072
1955,Den Helder,DENHDR,0.052
1956,Den Helder,DENHDR,0.03
1957,Den Helder,DENHDR,0.048
1958,Den Helder,DENHDR,0.051
1959,Den Helder,DENHDR,0.003
1960,Den Helder,DENHDR,0.042
1961,Den Helder,DENHDR,0.071
1962,Den Helder,DENHDR,0.055
1963,Den Helder,DENHDR,0.018
1964,Den Helder,DENHDR,0.015
1965,Den Helder,DENHDR,0.074
1966,Den Helder,DENHDR,0.066
1967,Den Helder,DENHDR,0.098
1968,Den Helder,DENHDR,0.036
1969,Den Helder,DENHDR,0.023
1970,Den Helder,DENHDR,0.062
1971,Den Helder,DENHDR,0.025
1972,Den Helder,DENHDR,0.002
1973,Den Helder,DENHDR,0.065
1974,Den Helder,DENHDR,0.085
1975,Den Helder,DENHDR,0.027
1976,Den Helder,DENHDR,0.011
1977,Den Helder,DENHDR,0.068
1978,Den Helder,DENHDR,0.046
1979,Den Helder,DENHDR,0.044
1980,Den Helder,DENHDR,0.036
1981,Den Helder,DENHDR,0.07
1982,Den Helder,DENHDR,0.047
1983,Den Helder,DENHDR,0.082
1984,Den Helder,DENHDR,0.033
1985,Den Helder,DENHDR,0.039
1986,Den Helder,DENHDR,0.045
1987,Den Helder,DENHDR,0.016
1988,Den Helder,DENHDR,0.077
1989,Den Helder,DENHDR,0.056
1990,Den Helder,DENHDR,0.107
1991,Den Helder,DENHDR,0.025
1992,Den Helder,DENHDR,0.052
1993,Den Helder,DENHDR,0.035
1994,Den Helder,DENHDR,0.071
1995,Den Helder,DENHDR,0.053
1996,Den Helder,DENHDR,-0.03
1997,Den Helder,DENHDR,0.016
1998,Den Helder,DENHDR,0.088
1999,Den Helder,DENHDR,0.082
2000,Den Helder,DENHDR,0.074
2001,Den Helder,DENHDR,0.056
2002,Den Helder,DENHDR,0.031
2003,Den Helder,DENHDR,0.014
2004,Den Helder,DENHDR,0.063
2005,Den Helder,DENHDR,0.042
2006,Den Helder,DENHDR,0.051
2007,Den Helder,DENHDR,0.074
2008,Den Helder,DENHDR,0.07
2009,Den Helder,DENHDR,0.04
2010,Den Helder,DENHDR,0.02
2011,Den Helder,DENHDR,0.06
2012,Den Helder,DENHDR,0.048
2013,Den Helder,DENHDR,0.02
2014,Den Helder,DENHDR,0.048
2015,Den Helder,DENHDR,0.071
2016,Den Helder,DENHDR,0.028
2017,Den Helder,DENHDR,0.069
2018,Den Helder,DENHDR,0.006
2019,Den Helder,DENHDR,0.057
2020,Den Helder,DENHDR,0.061
2021,Den Helder,DENHDR,0.031
2022,Den Helder,DENHDR,0.043
2023,Den Helder,DENHDR,0.075
2024,Den Helder,DENHDR,0.069
2025,Den Helder,DENHDR,0.026
1950,Harlingen,HARLNGN,0.093
1951,Harlingen,HARLNGN,0.071
1952,Harlingen,HARLNGN,0.074
1953,Harlingen,HARLNGN,0.037
1954,Harlingen,HARLNGN,0.096
1955,Harlingen,HARLNGN,0.064
1956,Harlingen,HARLNGN,0.045
1957,Harlingen,HARLNGN,0.065
1958,Harlingen,HARLNGN,0.063
1959,Harlingen,HARLNGN,0.012
1960,Harlingen,HARLNGN,0.049
1961,Harlingen,HARLNGN,0.091
1962,Harlingen,HARLNGN,0.076
1963,Harlingen,HARLNGN,0.029
1964,Harlingen,HARLNGN,0.029
1965,Harlingen,HARLNGN,0.091
1966,Harlingen,HARLNGN,0.079
1967,Harlingen,HARLNGN,0.127
1968,Harlingen,HARLNGN,0.046
1969,Harlingen,HARLNGN,0.028
1970,Harlingen,HARLNGN,0.079
1971,Harlingen,HARLNGN,0.037
1972,Harlingen,HARLNGN,0.011
1973,Harlingen,HARLNGN,0.086
1974,Harlingen,HARLNGN,0.104
1975,Harlingen,HARLNGN,0.041
1976,Harlingen,HARLNGN,0.02
1977,Harlingen,HARLNGN,0.086
1978,Harlingen,HARLNGN,0.058
1979,Harlingen,HARLNGN,0.056
1980,Harlingen,HARLNGN,0.051
1981,Harlingen,HARLNGN,0.089
1982,Harlingen,HARLNGN,0.07
1983,Harlingen,HARLNGN,0.109
1984,Harlingen,HARLNGN,0.05
1985,Harlingen,HARLNGN,0.057
1986,Harlingen,HARLNGN,0.065
1987,Harlingen,HARLNGN,0.027
1988,Harlingen,HARLNGN,0.101
1989,Harlingen,HARLNGN,0.077
1990,Harlingen,HARLNGN,0.141
1991,Harlingen,HARLNGN,0.045
1992,Harlingen,HARLNGN,0.073
1993,Harlingen,HARLNGN,0.052
1994,Harlingen,HARLNGN,0.094
