# generated with r-analyse/gtsm/add-gtsm.R
# contains gtsm surge output per year
"...1","t","name","ddl_id","surge"
"1",0,1950-01-01,"Delfzijl","DELFZL",0.139984343859227
"2",7,1951-01-01,"Delfzijl","DELFZL",0.0551910910423692
"3",14,1952-01-01,"Delfzijl","DELFZL",0.0681504989246446
"4",21,1953-01-01,"Delfzijl","DELFZL",0.0344972611864238
"5",28,1954-01-01,"Delfzijl","DELFZL",0.0818867475815015
"6",35,1955-01-01,"Delfzijl","DELFZL",0.0692652771536465
"7",42,1956-01-01,"Delfzijl","DELFZL",0.0479011339091892
"8",49,1957-01-01,"Delfzijl","DELFZL",0.0593945242668668
"9",56,1958-01-01,"Delfzijl","DELFZL",0.0536139410859841
"10",63,1959-01-01,"Delfzijl","DELFZL",0.0134121782028384
"11",70,1960-01-01,"Delfzijl","DELFZL",0.0326339312387908
"12",77,1961-01-01,"Delfzijl","DELFZL",0.0802656928957631
"13",84,1962-01-01,"Delfzijl","DELFZL",0.0737486684005963
"14",91,1963-01-01,"Delfzijl","DELFZL",0.025260292904528
"15",98,1964-01-01,"Delfzijl","DELFZL",0.0304568955271449
"16",105,1965-01-01,"Delfzijl","DELFZL",0.0799325201582253
"17",112,1966-01-01,"Delfzijl","DELFZL",0.0633665475426624
"18",119,1967-01-01,"Delfzijl","DELFZL",0.113316183716971
"19",126,1968-01-01,"Delfzijl","DELFZL",0.0422626664932649
"20",133,1969-01-01,"Delfzijl","DELFZL",0.0230201873890035
"21",140,1970-01-01,"Delfzijl","DELFZL",0.069291827455163
"22",147,1971-01-01,"Delfzijl","DELFZL",0.0406813599475443
"23",154,1972-01-01,"Delfzijl","DELFZL",0.00601181343625314
"24",161,1973-01-01,"Delfzijl","DELFZL",0.0889520682987744
"25",168,1974-01-01,"Delfzijl","DELFZL",0.0872805188384468
"26",175,1975-01-01,"Delfzijl","DELFZL",0.0426831058800629
"27",182,1976-01-01,"Delfzijl","DELFZL",0.0263652496499167
"28",189,1977-01-01,"Delfzijl","DELFZL",0.0720225072274469
"29",196,1978-01-01,"Delfzijl","DELFZL",0.0538988823964171
"30",203,1979-01-01,"Delfzijl","DELFZL",0.0417017949452055
"31",210,1980-01-01,"Delfzijl","DELFZL",0.0472445880245902
"32",217,1981-01-01,"Delfzijl","DELFZL",0.0876831371260274
"33",224,1982-01-01,"Delfzijl","DELFZL",0.0595667179873973
"34",231,1983-01-01,"Delfzijl","DELFZL",0.105442636068493
"35",238,1984-01-01,"Delfzijl","DELFZL",0.0437642541775956
"36",245,1985-01-01,"Delfzijl","DELFZL",0.0545948633249315
"37",252,1986-01-01,"Delfzijl","DELFZL",0.0611722144958904
"38",259,1987-01-01,"Delfzijl","DELFZL",0.024795574260274
"39",266,1988-01-01,"Delfzijl","DELFZL",0.0880486892349727
"40",273,1989-01-01,"Delfzijl","DELFZL",0.0746853243616438
"41",280,1990-01-01,"Delfzijl","DELFZL",0.126982259356164
"42",287,1991-01-01,"Delfzijl","DELFZL",0.0487029464273973
"43",294,1992-01-01,"Delfzijl","DELFZL",0.065040088347541
"44",301,1993-01-01,"Delfzijl","DELFZL",0.0515264620663014
"45",308,1994-01-01,"Delfzijl","DELFZL",0.0842246083561644
