# GTSM surge monthly means
# Source: GTSMv3 forced with ERA5 reanalysis (https://doi.org/10.24381/cds.a6d42d60)
# Script: /analysis/gtsm/get_monthly_means_surge.ipynb
# Units: m
# Created: 2026-07-29
t,name,ddl_id,surge
1950-01-01,Delfzijl,DELFZL,-0.0484
1950-02-01,Delfzijl,DELFZL,0.1984
1950-03-01,Delfzijl,DELFZL,0.0547
1950-04-01,Delfzijl,DELFZL,0.1728
1950-05-01,Delfzijl,DELFZL,-0.021
1950-06-01,Delfzijl,DELFZL,0.0289
1950-07-01,Delfzijl,DELFZL,0.0542
1950-08-01,Delfzijl,DELFZL,0.0316
1950-09-01,Delfzijl,DELFZL,0.2151
1950-10-01,Delfzijl,DELFZL,0.0856
1950-11-01,Delfzijl,DELFZL,0.0827
1950-12-01,Delfzijl,DELFZL,0.0563
1951-01-01,Delfzijl,DELFZL,0.1452
1951-02-01,Delfzijl,DELFZL,0.0117
1951-03-01,Delfzijl,DELFZL,0.0678
1951-04-01,Delfzijl,DELFZL,0.0776
1951-05-01,Delfzijl,DELFZL,-0.0492
1951-06-01,Delfzijl,DELFZL,0.0126
1951-07-01,Delfzijl,DELFZL,0.0111
1951-08-01,Delfzijl,DELFZL,0.0639
1951-09-01,Delfzijl,DELFZL,0.043
1951-10-01,Delfzijl,DELFZL,-0.1222
1951-11-01,Delfzijl,DELFZL,0.1504
1951-12-01,Delfzijl,DELFZL,0.2471
1952-01-01,Delfzijl,DELFZL,0.2017
1952-02-01,Delfzijl,DELFZL,0.1683
1952-03-01,Delfzijl,DELFZL,-0.0531
1952-04-01,Delfzijl,DELFZL,-0.0092
1952-05-01,Delfzijl,DELFZL,-0.0079
1952-06-01,Delfzijl,DELFZL,0.0515
1952-07-01,Delfzijl,DELFZL,0.0226
1952-08-01,Delfzijl,DELFZL,0.0691
1952-09-01,Delfzijl,DELFZL,0.1261
1952-10-01,Delfzijl,DELFZL,0.1
1952-11-01,Delfzijl,DELFZL,0.0963
1952-12-01,Delfzijl,DELFZL,0.0587
1953-01-01,Delfzijl,DELFZL,0.0621
1953-02-01,Delfzijl,DELFZL,0.0765
1953-03-01,Delfzijl,DELFZL,-0.0416
1953-04-01,Delfzijl,DELFZL,-0.0238
1953-05-01,Delfzijl,DELFZL,0.0124
1953-06-01,Delfzijl,DELFZL,0.0037
1953-07-01,Delfzijl,DELFZL,0.0839
1953-08-01,Delfzijl,DELFZL,0.0867
1953-09-01,Delfzijl,DELFZL,0.0716
1953-10-01,Delfzijl,DELFZL,0.0117
1953-11-01,Delfzijl,DELFZL,0.0688
1953-12-01,Delfzijl,DELFZL,0.0055
1954-01-01,Delfzijl,DELFZL,0.0426
1954-02-01,Delfzijl,DELFZL,-0.1229
1954-03-01,Delfzijl,DELFZL,0.0277
1954-04-01,Delfzijl,DELFZL,0.0133
1954-05-01,Delfzijl,DELFZL,-0.0218
1954-06-01,Delfzijl,DELFZL,0.0549
1954-07-01,Delfzijl,DELFZL,0.1343
1954-08-01,Delfzijl,DELFZL,0.0993
1954-09-01,Delfzijl,DELFZL,0.1907
1954-10-01,Delfzijl,DELFZL,0.1675
1954-11-01,Delfzijl,DELFZL,0.0415
1954-12-01,Delfzijl,DELFZL,0.3346
1955-01-01,Delfzijl,DELFZL,0.0685
1955-02-01,Delfzijl,DELFZL,0.0696
1955-03-01,Delfzijl,DELFZL,-0.0041
1955-04-01,Delfzijl,DELFZL,0.0323
1955-05-01,Delfzijl,DELFZL,0.1217
1955-06-01,Delfzijl,DELFZL,0.0011
1955-07-01,Delfzijl,DELFZL,-0.0037
1955-08-01,Delfzijl,DELFZL,-0.0022
1955-09-01,Delfzijl,DELFZL,0.088
1955-10-01,Delfzijl,DELFZL,0.1318
