year;psmsl_id;name;height;surge;source;method;surge_anomaly;station
1862;20;Vlissingen;-142;NA;psmsl;NA;0;Vlissingen
1863;20;Vlissingen;-161;NA;psmsl;NA;0;Vlissingen
1864;20;Vlissingen;-196;NA;psmsl;NA;0;Vlissingen
1865;20;Vlissingen;-167;NA;psmsl;NA;0;Vlissingen
1866;20;Vlissingen;-95;NA;psmsl;NA;0;Vlissingen
1867;20;Vlissingen;-96;NA;psmsl;NA;0;Vlissingen
1868;20;Vlissingen;-104;NA;psmsl;NA;0;Vlissingen
1869;20;Vlissingen;-102;NA;psmsl;NA;0;Vlissingen
1870;20;Vlissingen;-168;NA;psmsl;NA;0;Vlissingen
1871;20;Vlissingen;-172;NA;psmsl;NA;0;Vlissingen
1872;20;Vlissingen;-132;NA;psmsl;NA;0;Vlissingen
1873;20;Vlissingen;-127;NA;psmsl;NA;0;Vlissingen
1874;20;Vlissingen;-144;NA;psmsl;NA;0;Vlissingen
1875;20;Vlissingen;-172;NA;psmsl;NA;0;Vlissingen
1876;20;Vlissingen;-117;NA;psmsl;NA;0;Vlissingen
1877;20;Vlissingen;-73;NA;psmsl;NA;0;Vlissingen
1878;20;Vlissingen;-103;NA;psmsl;NA;0;Vlissingen
1879;20;Vlissingen;-144;NA;psmsl;NA;0;Vlissingen
1880;20;Vlissingen;-119;NA;psmsl;NA;0;Vlissingen
1881;20;Vlissingen;-148;NA;psmsl;NA;0;Vlissingen
1882;20;Vlissingen;-164;NA;psmsl;NA;0;Vlissingen
1883;20;Vlissingen;-171;NA;psmsl;NA;0;Vlissingen
1884;20;Vlissingen;-186;NA;psmsl;NA;0;Vlissingen
1885;20;Vlissingen;-207;NA;psmsl;NA;0;Vlissingen
1886;20;Vlissingen;-210;NA;psmsl;NA;0;Vlissingen
1887;20;Vlissingen;-289;NA;psmsl;NA;0;Vlissingen
1888;20;Vlissingen;-323;NA;psmsl;NA;0;Vlissingen
1889;20;Vlissingen;-275;NA;psmsl;NA;0;Vlissingen
1890;20;Vlissingen;-252;NA;psmsl;NA;0;Vlissingen
1891;20;Vlissingen;-280;NA;psmsl;NA;0;Vlissingen
1892;20;Vlissingen;-279;NA;psmsl;NA;0;Vlissingen
1893;20;Vlissingen;-253;NA;psmsl;NA;0;Vlissingen
1894;20;Vlissingen;-204;NA;psmsl;NA;0;Vlissingen
1895;20;Vlissingen;-220;NA;psmsl;NA;0;Vlissingen
1896;20;Vlissingen;-240;NA;psmsl;NA;0;Vlissingen
1897;20;Vlissingen;-261;NA;psmsl;NA;0;Vlissingen
1898;20;Vlissingen;-229;NA;psmsl;NA;0;Vlissingen
1899;20;Vlissingen;-221;NA;psmsl;NA;0;Vlissingen
1900;20;Vlissingen;-275;NA;psmsl;NA;0;Vlissingen
1901;20;Vlissingen;-308;NA;psmsl;NA;0;Vlissingen
1902;20;Vlissingen;-323;NA;psmsl;NA;0;Vlissingen
1903;20;Vlissingen;-178;NA;psmsl;NA;0;Vlissingen
1904;20;Vlissingen;-191;NA;psmsl;NA;0;Vlissingen
1905;20;Vlissingen;-220;NA;psmsl;NA;0;Vlissingen
1906;20;Vlissingen;-212;NA;psmsl;NA;0;Vlissingen
1907;20;Vlissingen;-202;NA;psmsl;NA;0;Vlissingen
1908;20;Vlissingen;-204;NA;psmsl;NA;0;Vlissingen
1909;20;Vlissingen;-178;NA;psmsl;NA;0;Vlissingen
1910;20;Vlissingen;-171;NA;psmsl;NA;0;Vlissingen
1911;20;Vlissingen;-209;NA;psmsl;NA;0;Vlissingen
1912;20;Vlissingen;-154;NA;psmsl;NA;0;Vlissingen
1913;20;Vlissingen;-160;NA;psmsl;NA;0;Vlissingen
