year,height,station,surge_anomaly,from1993,from1960_square
1890,-252,Vlissingen,0,-0,0
1891,-280,Vlissingen,0,-0,0
1892,-279,Vlissingen,0,-0,0
1893,-253,Vlissingen,0,-0,0
1894,-204,Vlissingen,0,-0,0
1895,-220,Vlissingen,0,-0,0
1896,-240,Vlissingen,0,-0,0
1897,-261,Vlissingen,0,-0,0
1898,-229,Vlissingen,0,-0,0
1899,-221,Vlissingen,0,-0,0
1900,-275,Vlissingen,0,-0,0
1901,-308,Vlissingen,0,-0,0
1902,-323,Vlissingen,0,-0,0
1903,-178,Vlissingen,0,-0,0
1904,-191,Vlissingen,0,-0,0
1905,-220,Vlissingen,0,-0,0
1906,-212,Vlissingen,0,-0,0
1907,-202,Vlissingen,0,-0,0
1908,-204,Vlissingen,0,-0,0
1909,-178,Vlissingen,0,-0,0
1910,-171,Vlissingen,0,-0,0
1911,-209,Vlissingen,0,-0,0
1912,-154,Vlissingen,0,-0,0
1913,-160,Vlissingen,0,-0,0
1914,-184,Vlissingen,0,-0,0
1915,-213,Vlissingen,0,-0,0
1916,-168,Vlissingen,0,-0,0
1917,-182,Vlissingen,0,-0,0
1918,-221,Vlissingen,0,-0,0
1919,-248,Vlissingen,0,-0,0
1920,-271,Vlissingen,0,-0,0
1921,-203,Vlissingen,0,-0,0
1922,-192,Vlissingen,0,-0,0
1923,-171,Vlissingen,0,-0,0
1924,-189,Vlissingen,0,-0,0
1925,-152,Vlissingen,0,-0,0
1926,-167,Vlissingen,0,-0,0
1927,-155,Vlissingen,0,-0,0
1928,-152,Vlissingen,0,-0,0
1929,-203,Vlissingen,0,-0,0
1930,-133,Vlissingen,0,-0,0
1931,-133,Vlissingen,0,-0,0
1932,-152,Vlissingen,0,-0,0
1933,-166,Vlissingen,0,-0,0
1934,-162,Vlissingen,0,-0,0
1935,-134,Vlissingen,0,-0,0
1936,-111,Vlissingen,0,-0,0
1937,-111,Vlissingen,0,-0,0
1938,-136,Vlissingen,0,-0,0
1939,-134,Vlissingen,0,-0,0
1940,-135,Vlissingen,0,-0,0
1941,-161,Vlissingen,0,-0,0
1942,-149,Vlissingen,0,-0,0
1943,-116,Vlissingen,0,-0,0
1944,-128,Vlissingen,0,-0,0
1945,-110,Vlissingen,0,-0,0
1946,-104,Vlissingen,0,-0,0
1947,-136,Vlissingen,0,-0,0
1948,-119,Vlissingen,0,-0,0
1949,-106,Vlissingen,0,-0,0
1950,-84,Vlissingen,-3.8326470654132407,-0,0
1951,-82,Vlissingen,-15.001030372249645,-0,0
1952,-54,Vlissingen,-2.5633486172680406,-0,0
1953,-104,Vlissingen,-47.23781884379479,-0,0
1954,-85,Vlissingen,-1.6316043740017392,-0,0
1955,-86,Vlissingen,-4.8012597672111355,-0,0
1956,-148,Vlissingen,-27.25045674935044,-0,0
1957,-112,Vlissingen,-18.26509849290644,-0,0
1958,-85,Vlissingen,-6.003721470202642,-0,0
1959,-98,Vlissingen,-50.04766937990619,-0,0
1960,-83,Vlissingen,-11.618530873601841,-0,0
1961,-41,Vlissingen,1.167877259500365,-0,1
1962,-70,Vlissingen,-14.74168273461914,-0,4
1963,-143,Vlissingen,-38.54955353028879,-0,9
1964,-115,Vlissingen,-44.66271478155086,-0,16
1965,-75,Vlissingen,9.691243200194862,-0,25
1966,-42,Vlissingen,5.204071756377765,-0,36
1967,-47,Vlissingen,10.940650522583262,-0,49
1968,-78,Vlissingen,-16.84302703540114,-0,64
1969,-73,Vlissingen,-23.71681686370654,-0,81
1970,-58,Vlissingen,0.7020670564239637,-0,100
1971,-115,Vlissingen,-33.46024822987014,-0,121
1972,-131,Vlissingen,-50.260689308974506,-0,144
1973,-79,Vlissingen,-6.125232017329239,-0,169
1974,-62,Vlissingen,17.66788293600076,-0,196
1975,-99,Vlissingen,-32.97486895422114,-0,225
1976,-115,Vlissingen,-40.63117414066753,-0,256
1977,-78,Vlissingen,1.4563317094144637,-0,289
1978,-95,Vlissingen,-12.046237770950839,-0,324
1979,-69,Vlissingen,-16.86187346784464,-0,361
1980,-53,Vlissingen,-21.54481265492454,-0,400
1981,-18,Vlissingen,4.94317553078546,-0,441
1982,-49,Vlissingen,-27.12806123085834,-0,484
1983,-22,Vlissingen,4.149636182840261,-0,529
1984,-61,Vlissingen,-25.70105629268414,-0,576
1985,-54,Vlissingen,-25.88327391606384,-0,625
1986,-71,Vlissingen,-21.496304895241938,-0,676
1987,-72,Vlissingen,-40.41338551305015,-0,729
1988,-10,Vlissingen,3.409414878682064,-0,784
1989,-43,Vlissingen,-16.97589933496794,-0,841
1990,-27,Vlissingen,14.575468960648465,-0,900
1991,-102,Vlissingen,-40.61807754263919,-0,961
1992,-63,Vlissingen,-20.456438721864437,-0,1024
1993,-57,Vlissingen,-24.98251809863914,0,1089
1994,-26,Vlissingen,-0.10197949387203664,1,1156
1995,-16,Vlissingen,-11.510095787022742,2,1225
1996,-101,Vlissingen,-67.19527772803924,3,1296
1997,-67,Vlissingen,-48.68617759715973,4,1369
1998,1,Vlissingen,9.797263054073163,5,1444
1999,-4,Vlissingen,5.4184528258539615,6,1521
2000,-10,Vlissingen,-4.622225400826139,7,1600
2001,9,Vlissingen,-5.369342476337842,8,1681
2002,-8,Vlissingen,-31.35885051578984,9,1764
2003,-18,Vlissingen,-44.96440816647481,10,1849
2004,14,Vlissingen,-10.357073286072037,11,1936
2005,27,Vlissingen,-19.93833127863924,12,2025
2006,1,Vlissingen,-20.514014817159737,13,2116
2007,46,Vlissingen,4.917678156538855,14,2209
2008,19,Vlissingen,-6.674153608476438,15,2304
2009,1,Vlissingen,-22.14353500126934,16,2401
2010,3,Vlissingen,-23.94748977140634,17,2500
2011,7,Vlissingen,-17.20052642263924,18,2601
2012,0,Vlissingen,-20.32781151421414,19,2704
2013,-14,Vlissingen,-35.73041214592684,20,2809
2014,24,Vlissingen,-20.64708634948854,21,2916
2015,27,Vlissingen,-14.591572652776136,22,3025
2016,30,Vlissingen,-35.50924983798464,23,3136
2017,46,Vlissingen,-6.024596233598039,24,3249
2018,1,Vlissingen,-48.26907770483096,25,3364
2019,51,Vlissingen,-13.080564681817236,26,3481
2020,58,Vlissingen,-18.05276740902294,27,3600
2021,46,Vlissingen,-30.37467191852964,28,3721
2022,60,Vlissingen,-29.969511338112238,29,3844
1890,-218,Hoek van Holland,0,-0,0
1891,-213,Hoek van Holland,0,-0,0
1892,-182,Hoek van Holland,0,-0,0
1893,-190,Hoek van Holland,0,-0,0
1894,-201,Hoek van Holland,0,-0,0
1895,-200,Hoek van Holland,0,-0,0
1896,-234,Hoek van Holland,0,-0,0
1897,-226,Hoek van Holland,0,-0,0
1898,-185,Hoek van Holland,0,-0,0
1899,-157,Hoek van Holland,0,-0,0
1900,-190,Hoek van Holland,0,-0,0
1901,-195,Hoek van Holland,0,-0,0
1902,-196,Hoek van Holland,0,-0,0
1903,-106,Hoek van Holland,0,-0,0
1904,-149,Hoek van Holland,0,-0,0
1905,-166,Hoek van Holland,0,-0,0
1906,-145,Hoek van Holland,0,-0,0
1907,-171,Hoek van Holland,0,-0,0
1908,-174,Hoek van Holland,0,-0,0
1909,-118,Hoek van Holland,0,-0,0
1910,-123,Hoek van Holland,0,-0,0
1911,-145,Hoek van Holland,0,-0,0
1912,-84,Hoek van Holland,0,-0,0
1913,-105,Hoek van Holland,0,-0,0
1914,-87,Hoek van Holland,0,-0,0
1915,-116,Hoek van Holland,0,-0,0
1916,-74,Hoek van Holland,0,-0,0
1917,-163,Hoek van Holland,0,-0,0
1918,-152,Hoek van Holland,0,-0,0
1919,-155,Hoek van Holland,0,-0,0
1920,-127,Hoek van Holland,0,-0,0
1921,-131,Hoek van Holland,0,-0,0
1922,-95,Hoek van Holland,0,-0,0
1923,-95,Hoek van Holland,0,-0,0
1924,-132,Hoek van Holland,0,-0,0
1925,-67,Hoek van Holland,0,-0,0
1926,-95,Hoek van Holland,0,-0,0
1927,-93,Hoek van Holland,0,-0,0
1928,-85,Hoek van Holland,0,-0,0
1929,-140,Hoek van Holland,0,-0,0
1930,-67,Hoek van Holland,0,-0,0
1931,-73,Hoek van Holland,0,-0,0
1932,-90,Hoek van Holland,0,-0,0
1933,-146,Hoek van Holland,0,-0,0
1934,-138,Hoek van Holland,0,-0,0
1935,-78,Hoek van Holland,0,-0,0
1936,-49,Hoek van Holland,0,-0,0
1937,-55,Hoek van Holland,0,-0,0
1938,-81,Hoek van Holland,0,-0,0
1939,-73,Hoek van Holland,0,-0,0
1940,-69,Hoek van Holland,0,-0,0
1941,-105,Hoek van Holland,0,-0,0
1942,-105,Hoek van Holland,0,-0,0
1943,-59,Hoek van Holland,0,-0,0
1944,-44,Hoek van Holland,0,-0,0
1945,-57,Hoek van Holland,0,-0,0
1946,-52,Hoek van Holland,0,-0,0
1947,-101,Hoek van Holland,0,-0,0
1948,-42,Hoek van Holland,0,-0,0
1949,-54,Hoek van Holland,0,-0,0
1950,-45,Hoek van Holland,6.161575042886959,-0,0
1951,-56,Hoek van Holland,-7.5298039383707405,-0,0
1952,-45,Hoek van Holland,2.6255977786204596,-0,0
1953,-74,Hoek van Holland,-40.50253914446976,-0,0
1954,-25,Hoek van Holland,9.071235853644758,-0,0
1955,-21,Hoek van Holland,-0.2221121000591424,-0,0
1956,-83,Hoek van Holland,-22.81552397477124,-0,0
1957,-38,Hoek van Holland,-11.16765965778854,-0,0
1958,-38,Hoek van Holland,-1.68384498962304,-0,0
1959,-131,Hoek van Holland,-47.77507367359969,-0,0
1960,-80,Hoek van Holland,-7.842179339756434,-0,0
1961,4,Hoek van Holland,10.187306590558862,-0,1
1962,-55,Hoek van Holland,-5.706651225788143,-0,4
1963,-120,Hoek van Holland,-34.93278807878604,-0,9
1964,-107,Hoek van Holland,-40.18704390470425,-0,16
1965,-3,Hoek van Holland,17.35737320946796,-0,25
1966,27,Hoek van Holland,11.836289454891357,-0,36
1967,31,Hoek van Holland,26.670685740853052,-0,49
1968,-21,Hoek van Holland,-13.540797806742638,-0,64
1969,-37,Hoek van Holland,-22.97360714506934,-0,81
1970,-18,Hoek van Holland,7.138575763966664,-0,100
1971,-53,Hoek van Holland,-29.23763412862104,-0,121
1972,-80,Hoek van Holland,-48.69299512347946,-0,144
1973,4,Hoek van Holland,3.5444449772949582,-0,169
1974,8,Hoek van Holland,26.06725862038146,-0,196
1975,-18,Hoek van Holland,-27.52651255968004,-0,225
1976,-44,Hoek van Holland,-38.21748609956473,-0,256
1977,-3,Hoek van Holland,9.23260295347896,-0,289
1978,-13,Hoek van Holland,-6.61233974219914,-0,324
1979,14,Hoek van Holland,-11.01823168757064,-0,361
1980,24,Hoek van Holland,-16.58239602268414,-0,400
1981,72,Hoek van Holland,12.936512430785456,-0,441
1982,53,Hoek van Holland,-16.836160617159738,-0,484
1983,72,Hoek van Holland,16.28951271982656,-0,529
1984,25,Hoek van Holland,-20.889795645088437,-0,576
1985,20,Hoek van Holland,-19.55026646263924,-0,625
1986,28,Hoek van Holland,-13.551650247296742,-0,676
1987,28,Hoek van Holland,-36.89060386044744,-0,729
1988,87,Hoek van Holland,13.389010564692967,-0,784
1989,53,Hoek van Holland,-8.084762304830946,-0,841
1990,73,Hoek van Holland,29.836580781470367,-0,900
1991,-14,Hoek van Holland,-34.43359644455704,-0,961
1992,25,Hoek van Holland,-10.99144193907754,-0,1024
1993,31,Hoek van Holland,-19.82535551852964,0,1089
1994,64,Hoek van Holland,10.04212728421016,1,1156
1995,74,Hoek van Holland,-5.470642763187136,2,1225
1996,-22,Hoek van Holland,-71.29280324754744,3,1296
1997,24,Hoek van Holland,-43.51364276510494,4,1369
1998,90,Hoek van Holland,22.25376296503206,5,1444
1999,91,Hoek van Holland,16.680349023114253,6,1521
2000,83,Hoek van Holland,6.956027869665661,7,1600
2001,101,Hoek van Holland,1.22447604174436,8,1681
2002,86,Hoek van Holland,-26.821837311132338,9,1764
2003,64,Hoek van Holland,-40.801400900721376,10,1849
2004,87,Hoek van Holland,-0.268892899186838,11,1936
2005,75,Hoek van Holland,-13.438715224009037,12,2025
2006,72,Hoek van Holland,-11.865272036337842,13,2116
2007,121,Hoek van Holland,13.274354632155365,14,2209
2008,92,Hoek van Holland,4.308287711195661,15,2304
2009,71,Hoek van Holland,-16.246431684009043,16,2401
2010,80,Hoek van Holland,-24.39803918154334,17,2500
2011,86,Hoek van Holland,-6.455035745926843,18,2601
2012,86,Hoek van Holland,-12.363602239624036,19,2704
2013,70,Hoek van Holland,-32.80347010839264,20,2809
2014,101,Hoek van Holland,-13.07453791578984,21,2916
2015,109,Hoek van Holland,-1.1627034308583362,22,3025
2016,111,Hoek van Holland,-29.998838963667737,23,3136
2017,133,Hoek van Holland,4.818370298456664,24,3249
2018,75,Hoek van Holland,-45.86469803359809,25,3364
2019,138,Hoek van Holland,-4.17666731222824,26,3481
2020,136,Hoek van Holland,-7.120403627602137,27,3600
2021,128,Hoek van Holland,-23.943438556885738,28,3721
2022,135,Hoek van Holland,-21.77448315515104,29,3844
1890,-191,Den Helder,0,-0,0
1891,-157,Den Helder,0,-0,0
1892,-156,Den Helder,0,-0,0
1893,-136,Den Helder,0,-0,0
