year;height;station;surge_anomaly;from1993;from1960_square
1862;-142,00000000000000;Vlissingen;0,0000000000000000;0;0
1863;-161,00000000000000;Vlissingen;0,0000000000000000;0;0
1864;-196,00000000000000;Vlissingen;0,0000000000000000;0;0
1865;-167,00000000000000;Vlissingen;0,0000000000000000;0;0
1866;-95,00000000000000;Vlissingen;0,0000000000000000;0;0
1867;-96,00000000000000;Vlissingen;0,0000000000000000;0;0
1868;-104,00000000000000;Vlissingen;0,0000000000000000;0;0
1869;-102,00000000000000;Vlissingen;0,0000000000000000;0;0
1870;-168,00000000000000;Vlissingen;0,0000000000000000;0;0
1871;-172,00000000000000;Vlissingen;0,0000000000000000;0;0
1872;-132,00000000000000;Vlissingen;0,0000000000000000;0;0
1873;-127,00000000000000;Vlissingen;0,0000000000000000;0;0
1874;-144,00000000000000;Vlissingen;0,0000000000000000;0;0
1875;-172,00000000000000;Vlissingen;0,0000000000000000;0;0
1876;-117,00000000000000;Vlissingen;0,0000000000000000;0;0
1877;-73,00000000000000;Vlissingen;0,0000000000000000;0;0
1878;-103,00000000000000;Vlissingen;0,0000000000000000;0;0
1879;-144,00000000000000;Vlissingen;0,0000000000000000;0;0
1880;-119,00000000000000;Vlissingen;0,0000000000000000;0;0
1881;-148,00000000000000;Vlissingen;0,0000000000000000;0;0
1882;-164,00000000000000;Vlissingen;0,0000000000000000;0;0
1883;-171,00000000000000;Vlissingen;0,0000000000000000;0;0
1884;-186,00000000000000;Vlissingen;0,0000000000000000;0;0
1885;-207,00000000000000;Vlissingen;0,0000000000000000;0;0
1886;-210,00000000000000;Vlissingen;0,0000000000000000;0;0
1887;-289,00000000000000;Vlissingen;0,0000000000000000;0;0
1888;-323,00000000000000;Vlissingen;0,0000000000000000;0;0
1889;-275,00000000000000;Vlissingen;0,0000000000000000;0;0
1890;-252,00000000000000;Vlissingen;0,0000000000000000;0;0
1891;-280,00000000000000;Vlissingen;0,0000000000000000;0;0
1892;-279,00000000000000;Vlissingen;0,0000000000000000;0;0
1893;-253,00000000000000;Vlissingen;0,0000000000000000;0;0
1894;-204,00000000000000;Vlissingen;0,0000000000000000;0;0
1895;-220,00000000000000;Vlissingen;0,0000000000000000;0;0
1896;-240,00000000000000;Vlissingen;0,0000000000000000;0;0
1897;-261,00000000000000;Vlissingen;0,0000000000000000;0;0
1898;-229,00000000000000;Vlissingen;0,0000000000000000;0;0
