# Sealevelmonitor output file
# produced in script sealevelmonitor.Rmd
# date produced:  2026-05-04
#
# column names explanation
# year = year
# psmsl_id = ID of PSMSL station
# name = station name
# height = measured water level in mm relative to NAP-2005
# surge_anomaly = yearly average surge in mm normalized by the average surge
# surge = yearly average surge in mm
# from1993 = term to be used in broken linear regression
# from1960_square = term to be used in broken quadratic regression
# offset(surge_anomaly) = surge anomaly in mm used in regression (equals surge_anomaly)
# I(year - epoch) = year - 1970
# I(cos(2 * pi * (year - epoch)/(18.613))) = cosine term to estimate nodal tide
# I(sin(2 * pi * (year - epoch)/(18.613))) = sine term to estimate nodal tide
# trend_fit = fitted trend (broken linear)
# trend_se = standard error of trend_fit
# trend_lwr = lower value of 95% CI for trend_fit
# trend_upr = upper value of 95% CI for trend_fit
# nodal_fit = fitted nodal tide
# nodal_se = standard error of nodal_fit
# nodal_lwr = lower value of 95% CI for nodal_fit
# nodal_upr = upper value of 95% CI for nodal_fit
# offset = 
# fitted_total = fitted trend + fitted nodal + surge_anomaly + offset
#
year psmsl_id name height surge_anomaly surge source method from1993 from1960_square offset(surge_anomaly) "I(year - epoch)" "I(cos(2 * pi * (year - epoch)/(18.613)))" "I(sin(2 * pi * (year - epoch)/(18.613)))" trend_fit trend_se trend_lwr trend_upr nodal_fit nodal_se nodal_lwr nodal_upr offset fitted_total
1890 NA "Netherlands (without Delfzijl)" -203.4 0 NA psmsl calculated -0 0 0 -80 -0.297468965843726 -0.95473148809488 -183.60934771294876 3.8831136349685553 -191.29162364049466 -175.92707178540286 8.737482927549342 2.500756643439727 3.790034985376752 13.684930869721931 0 -174.87186478539942
1891 NA "Netherlands (without Delfzijl)" -189.4 0 NA psmsl calculated -0 0 0 -79 0.0355217392145418 -0.999368903880431 -181.78596489485022 3.830153052386394 -189.36346464355452 -174.20846514614593 10.955904719030002 2.48583797088718 6.0379715863106505 15.873837851749354 0 -170.83006017582022
1892 NA "Netherlands (without Delfzijl)" -174.4 0 NA psmsl calculated -0 0 0 -78 0.36450291699898 -0.931202246291983 -179.96258207675166 3.7774430250268622 -187.43580134015727 -172.48936281334605 11.937675384980091 2.477782669985939 7.035678701723734 16.839672068236446 0 -168.02490669177158
1893 NA "Netherlands (without Delfzijl)" -154 0 NA psmsl calculated -0 0 0 -77 0.652340715562253 -0.757925847837193 -178.13919925865312 3.7249941892486964 -185.50865477306672 -170.76974374423952 11.5719772585618 2.4801968821336495 6.665204345297821 16.47875017182578 0 -166.56722200009133
1894 NA "Netherlands (without Delfzijl)" -147 0 NA psmsl calculated -0 0 0 -76 0.866545354581136 -0.499098335454902 -176.31581644055456 3.672817734729317 -183.58204707972132 -169.0495858013878 9.900088628628282 2.491996682998726 4.969971220544659 14.830206036711905 0 -166.41572781192627
1895 NA "Netherlands (without Delfzijl)" -182 0 NA psmsl calculated -0 0 0 -75 0.982938419334983 -0.183934944464734 -174.49243362245602 3.620925436285731 -181.65600155518837 -167.32886568972367 7.110724440133176 2.507922880921872 2.1490989541451295 12.072349926121223 0 -167.38170918232285
1896 NA "Netherlands (without Delfzijl)" -197.6 0 NA psmsl calculated -0 0 0 -74 0.988382006727415 0.151990160133769 -172.66905080435745 3.5693296874529543 -179.73054271859468 -165.60755889012023 3.5187350364922616 2.5209774566964693 -1.4687173664096718 8.506187439394195 0 -169.15031576786518
1897 NA "Netherlands (without Delfzijl)" -190.8 0 NA psmsl calculated -0 0 0 -73 0.882261670151926 0.470759328511644 -170.84566798625892 3.518043535875896 -177.80569638314532 -163.88563958937252 -0.47043267007457956 2.525508514937198 -5.466849229815909 4.52598388966675 0 -171.3161006563335
1898 NA "Netherlands (without Delfzijl)" -153 0 NA psmsl calculated -0 0 0 -72 0.676555775342187 0.736391392434167 -169.02228516816035 3.46708072056255 -175.8814897298244 -162.1630806064963 -4.406500143857903 2.519571844819198 -9.39117171176418 0.5781714240483735 0 -173.42878531201825
1899 NA "Netherlands (without Delfzijl)" -151 0 NA psmsl calculated -0 0 0 -71 0.394483438644006 0.918903050727116 -167.19890235006181 3.4164557110356424 -173.95795138485227 -160.43985331527136 -7.845182554307547 2.505716605424686 -12.802443188082943 -2.8879219205321514 0 -175.04408490436936
