# Title: Global Land Average Temperature Anomalies,
# Units: Degrees Celsius,
# Base Period: 1901-2000,
# Missing: -999,
Year,Anomaly
1850,-0.51
1851,-0.32
1852,-0.27
1853,-0.39
1854,-0.19
1855,-0.29
1856,-0.28
1857,-0.31
1858,-0.39
1859,-0.23
1860,-0.63
1861,-0.64
1862,-0.81
1863,-0.54
1864,-0.63
1865,-0.42
1866,-0.49
1867,-0.59
1868,-0.48
1869,-0.25
1870,-0.54
1871,-0.55
1872,-0.58
1873,-0.49
1874,-0.47
1875,-0.68
1876,-0.62
1877,-0.17
1878,-0.05
1879,-0.52
1880,-0.52
1881,-0.41
1882,-0.58
1883,-0.53
1884,-0.7
1885,-0.56
1886,-0.55
1887,-0.65
1888,-0.32
1889,-0.15
1890,-0.54
1891,-0.52
1892,-0.54
1893,-0.64
1894,-0.58
1895,-0.47
1896,-0.41
1897,-0.26
1898,-0.43
1899,-0.27
1900,-0.14
1901,-0.08
1902,-0.29
1903,-0.41
1904,-0.42
1905,-0.34
1906,-0.1
1907,-0.51
1908,-0.45
1909,-0.4
1910,-0.28
1911,-0.41
1912,-0.5
1913,-0.35
1914,-0.11
1915,-0.09
1916,-0.39
1917,-0.66
1918,-0.59
1919,-0.29
1920,-0.27
1921,-0.12
1922,-0.23
1923,-0.27
1924,-0.19
1925,-0.19
1926,0.01
1927,-0.17
1928,-0.04
1929,-0.43
1930,-0.05
1931,0.06
1932,0.01
1933,-0.27
1934,0.04
1935,-0.1
1936,-0.05
1937,0.06
1938,0.27
1939,0.15
1940,0.15
1941,0.12
1942,0.08
1943,0.08
1944,0.26
1945,0.02
1946,-0.01
1947,0.14
1948,0.03
1949,-0.04
1950,-0.22
1951,-0.08
1952,-0.01
1953,0.21
1954,-0.05
1955,-0.12
1956,-0.32
1957,-0.03
1958,0.04
1959,0.11
1960,-0.1
1961,0.07
1962,0.03
1963,0.04
1964,-0.36
1965,-0.16
1966,-0.16
1967,0.02
1968,-0.22
1969,-0.09
1970,0.01
1971,-0.06
1972,-0.07
1973,0.3
1974,-0.14
1975,0.08
1976,-0.23
1977,0.2
1978,0.03
1979,0.04
1980,0.36
1981,0.57
1982,0.01
1983,0.41
1984,0.14
1985,0.09
1986,0.22
1987,0.26
1988,0.56
1989,0.3
1990,0.62
1991,0.59
1992,0.21
1993,0.28
1994,0.39
1995,0.78
1996,0.43
1997,0.53
1998,0.88
1999,0.64
2000,0.59
2001,0.77
2002,0.93
2003,0.91
2004,0.72
2005,1.15
2006,1.03
2007,1.18
2008,0.89
2009,0.98
2010,1.19
2011,1.06
2012,1.05
2013,1.04
2014,1.09
2015,1.34
2016,1.64
2017,1.48
2018,1.35
2019,1.52
2020,1.67
2021,1.39
2022,1.41
2023,1.81
2024,1.98
