puntnummer;project_id;project_titel;projectdatum;hoogte;orde;publiek
000A4000;PR4.65--HY;4E NAUWK WP 1965-78;1965-01-01T00:00:00Z;6,60300000000000;1;N
000A4000;670101-2-1;NA;1967-01-01T00:00:00Z;6,59430000000000;2;N
000A4000;690101-2-1;NA;1969-01-01T00:00:00Z;6,59430000000000;2;N
000A4000;700101-2-1;NA;1970-01-01T00:00:00Z;6,59430000000000;2;N
000A4000;PR4-----VV;VRIJE VEREFF.4E PRIM;1970-06-15T00:00:00Z;6,62540000000000;1;N
000A4000;710101-3-1;NA;1971-01-01T00:00:00Z;6,59430000000000;3;N
000A4000;720101-3-1;NA;1972-01-01T00:00:00Z;6,59430000000000;3;N
000A4000;740101-2-1;NA;1974-01-01T00:00:00Z;6,59430000000000;2;N
000A4000;PR4.75;4E NAUWK WP OPTISCH;1975-01-01T00:00:00Z;6,60300000000000;1;N
000A4000;261=00=NAP;NA;1977-08-01T00:00:00Z;6,59500000000000;2;N
000A4000;213W33;PRIM ZWOLLE-KAMPEN;1981-01-01T00:00:00Z;6,60300000000000;1;N
000A4000;238;UITB.1982 FLEVO;1982-08-01T00:00:00Z;6,60300000000000;7;N
000A4000;276=00=NAP;SEC wp drenthe herziening;1985-01-01T00:00:00Z;6,59500000000000;2;N
000A4000;276W00;SEC.OVERYSSEL-DRENTE;1985-01-01T00:00:00Z;6,60300000000000;2;N
000A4000;314W01;SEC VERD OVERIJSSEL;1988-12-01T00:00:00Z;6,60300000000000;2;N
000A4000;314W02;IJSSELWP 1989;1989-07-01T00:00:00Z;6,60300000000000;2;N
000A4000;335=00=NAP;SEC herziening 335w00H flevoland 1992;1992-10-03T00:00:00Z;6,59500000000000;2;N
000A4000;335W00H;Herberekening sec wp flevoland 1992;1992-10-03T00:00:00Z;6,60300000000000;2;N
000A4000;335W00;SEC. WP FLEVOLAND;1992-10-15T00:00:00Z;6,60300000000000;2;N
000A4000;345=01=NAP;SEC herziening 345w01 Drenthe Overijssel 1994;1994-10-12T00:00:00Z;6,59500000000000;2;N
000A4000;345W01;Sec. W.P. Drenthe/Overijssel 1994;1994-10-12T00:00:00Z;6,60300000000000;2;N
000A4000;357=02=NAP;SEC herziening 357w02 veluwe noord 1996;1996-09-25T00:00:00Z;6,59500000000000;2;N
000A4000;357W02;Secundaire waterpassing Veluwe Noord 1996;1996-09-25T00:00:00Z;6,60300000000000;2;N
000A4000;371W00;5E PRIMAIRE WATERPASSING;1997-03-20T00:00:00Z;6,60300000000000;1;N
000A4000;371=00=NAP;PRI prim 5 herziening 371w00 - MAART 1997;1997-03-23T00:00:00Z;6,59500000000000;1;N
000A4000;369=00=NAP;SEC herziening 369w00+372w00 holland midden west/oost 2001;2000-11-17T00:00:00Z;6,59500000000000;2;N
000A4000;372W00;Holland-m-oost-;2001-01-24T00:00:00Z;6,60300000000000;2;N
000A4000;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;6,59500000000000;1;N
000A4000;376=80;RIKZ metingen 2001 - 2003;2003-07-22T00:00:00Z;6,59500000000000;2;N
000A4000;381=00;SEC verdichting NO polder 2004;2004-04-24T00:00:00Z;6,59500000000000;2;N
000A4000;380=63;RIKZ vlotterbuizen drenthe 2005  deel 1+2;2005-01-10T00:00:00Z;6,59500000000000;2;N
000A4000;383=12;SEC verdichting Drenthe deel 1 en 2 2005;2005-05-03T00:00:00Z;6,59500000000000;2;N
000A4000;383=45;SEC WP DR-OV-GLD 4+5;2006-08-30T00:00:00Z;6,59500000000000;2;N
000A4000;384=12;SEC Veluwe/Flevoland en Rivieren-west 2010;2010-07-28T00:00:00Z;6,59500000000000;2;N
000A4000;384=16;SEC Noord Oost Nederland 2014;2014-04-29T00:00:00Z;6,59500000000000;2;N
000A4000;384=18;SEC Oost Nederland 2015;2015-05-29T00:00:00Z;6,59500000000000;2;N
000A4000;389=47;Validatiecampagne RDNAPTRANS 2021;2021-03-28T00:00:00Z;6,59500000000000;2;J
000A4001;PR4.66--HY;4E NAUWK WP 1965-78;1966-01-01T00:00:00Z;16,02530000000000;1;N
000A4001;670101-2-1;NA;1967-01-01T00:00:00Z;16,02250000000000;2;N
000A4001;680101-2-1;NA;1968-01-01T00:00:00Z;16,02489999999990;2;N
000A4001;690101-3-1;NA;1969-01-01T00:00:00Z;15,50000000000000;3;N
000A4001;700101-3-1;NA;1970-01-01T00:00:00Z;16,02489999999990;3;N
000A4001;PR4-----VV;VRIJE VEREFF.4E PRIM;1970-06-15T00:00:00Z;16,05050000000000;1;N
000A4001;710101-3-1;NA;1971-01-01T00:00:00Z;16,02489999999990;3;N
000A4001;720101-3-1;NA;1972-01-01T00:00:00Z;16,02489999999990;3;N
000A4001;740101-3-1;NA;1974-01-01T00:00:00Z;16,02489999999990;3;N
000A4001;PR4.75;4E NAUWK WP OPTISCH;1975-01-01T00:00:00Z;16,02530000000000;1;N
000A4001;329=00=NAP;SEC herziening 329w00 rivieren oost 1991;1991-10-29T00:00:00Z;16,02440000000000;2;N
000A4001;329W00;RIV. OOST 1991;1991-11-15T00:00:00Z;16,02530000000000;2;N
000A4001;371W00;5E PRIMAIRE WATERPASSING;1997-03-20T00:00:00Z;16,02530000000000;1;N
000A4001;371=00=NAP;PRI prim 5 herziening 371w00 - MAART 1997;1997-03-23T00:00:00Z;16,02440000000000;1;N
000A4001;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;16,02440000000000;1;J
000A4001;380=04;voorlopige hoogte G kollaart tgt nieuw peilmerk;2002-01-01T00:00:00Z;16,02440000000000;2;N
000A4001;377=00=NAP;SEC herziening 377w00-sec rivieren oost 2002;2002-09-29T00:00:00Z;16,02440000000000;2;N
000A4001;377W00-SEC;rivieren oost 2002 (20300)(20298);2002-09-29T00:00:00Z;16,02530000000000;7;N
000A4001;376=80;RIKZ metingen 2001 - 2003;2003-07-22T00:00:00Z;16,02440000000000;2;N
000A4001;384=13;SEC Brabant Limburg noord en Gelderland zuid 2011;2011-05-23T00:00:00Z;16,02440000000000;2;N
000A4002;630101-3-1;NA;1963-01-01T00:00:00Z;17,73069999999990;3;N
000A4002;PR4.66--HY;4E NAUWK WP 1965-78;1966-01-01T00:00:00Z;18,13329999999990;1;N
000A4002;700101-3-1;NA;1970-01-01T00:00:00Z;18,13289999999990;3;N
