puntnummer;locatie;code;hoogte;x_rd;y_rd;status;fund_diept;jaar_plaat;omschrijving;opmerking
000A4000;Katerveer;NA;6,59500000000000;200222,7999999990;502541,200000000;ACTUEEL;NA;1965;21G X=200222.80 Y=502541.20,NULPL KATERVEER, NI-BT IN KOP PAAL,PS_HS=JA  1M BAAK 0, SLEUTEL PSHS ZAK_R=;NA
000A4001;IJsselkop;NA;16,02400000000000;193980,0000000000;440489,000000000;ACTUEEL;NA;1967;40B X=193979.60 Y=440489.49,NULPL DUIVEN, NI-BTIN KOP PAAL,PS_HS=JA 0, SLEUTEL PSHS ZAK_R=;NA
000A4002;Pannerdense Kop;NA;NA;200300,0000000000;431200,000000000;VERVALLEN;NA;NA;40G X=          Y=,NULPL PANNERDENSE KOP;NA
000A4006;NA;NA;NA;111252,0000000000;435654,000000000;VERVALLEN;NA;NA;38D X=111252.01 Y=435654.33,NULPL STREEFKERK  NI-RB IN KOP-PAAL;VERVALLEN. IS GEEN ECHTE NULPL. ZAT,VROEGER IN PS-HS OP HOUTEN FUND., ZIT,THANS IN PUT. DIJK IS VERHOOGD EN MERK,ZAKT STERK 070684
000A4013;NA;NA;NA;36532,0000000000;386006,000000000;VERVALLEN;NA;1971;48D X=36532 Y=386006,NULPAAL HOECHST,KOPBOUT,PUT= JA 0BEDRIJFS TERREIN ZAK_R=;NIET MEER BEREIKBAAR OPGAVE GEOMAAT 2019
000A4014;NA;NA;NA;45719,0999999999;378604,200000000;VERVALLEN;NA;NA;48G X= 45719.10 Y= 378604.20,NULPL ELLEWOUTSDIJK;NP STAAT SCHEEF, GESCHAT 15 CM OP 4M,NP IS GESCHEURD OVER 1,5 A 2 M LENGTE,VANAF 1 M UIT BOVENKANT WHH WBW 19830121,VERVALLEN OPG OA GOES 270989
000A4015;NA;NA;8,62500000000000;63309,5000000000;381260,500000000;ACTUEEL;NA;1965;49C X=063309.5 Y=381260.5,NULPAAL WAARDE,NEUSBOUT STRIP IN ZIJKANT,PAAL OP ZEEDIJK  STEEK 1.40M BOVEN MV,PUT= NEE,  ZAK_R=;NA
000A4017;NA;NA;2,21200000000000;35030,2699999999;377526,440000000;ACTUEEL;NA;1965;48D X=35030.27 Y=377526.44,NULPAAL HOOFDPLAAT, KOPBOUT IN PAAL.,PUT ONDER ZAND IN DUIN.,PUT=JA ZAK_R=;COORDINAAT FOUT NIET TE VINDEN 2019
000A4019;NA;NA;5,02000000000000;52859,4000000000;406946,400000000;ACTUEEL;40,5;1979;42H X=52859.4 Y=406946.4,NULPL ZIERIKZEE, KOPBOUT IN BET PAAL,PUT= JA ZAK_R=;NA
000A4026;Doesburg brug;NA;12,98100000000000;206107,0000000000;448191,000000000;ACTUEEL;NA;1974;40E X=206106.82 Y=448191.17 DOESBURG,,LET OP, STALEN SLEUTELKAST AAN HEK MET JUISTE SLEUTEL VOOR PS HUIS,TE OPENEN MET STANDAARD SLEUTEL.,NI-BT KOPPAAL,PS_HS=JA 0, SLEUTEL ZAK_;NA
000A4027;Zaltbommel;NA;NA;145202,0000000000;425174,000000000;VERVALLEN;NA;1969;39C X=145202.18 Y=425174.30,NULPL ZALTBOMMEL, NI-RB IN KOP PAAL,PS_HS=JA 0, SLEUTEL PSHS NODIG ZAK_R=;PEILSCHAALHUIS VERKOCHT. NIET MEER TOEGANKELIJK. MOGELIJK FYSIEK VERWIJDERD.
000A4028;Olst;NA;8,01800000000000;203966,2399999990;484041,260000000;ACTUEEL;NA;1978;27G X=203966.24 Y=484041.26,NULPAAL OLST, NI-BT IN KOP PAAL,PS_HS=JA 0, SLEUTEL PSHS ZAK_R=;NA
