locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Peilschaal;Waterhoogte;cm;GETETM2;NAP;79;731;1951;rws_ddl;-27.4;51.6
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-212;1409;1951;rws_ddl;-8.2;-220.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;-40;2916;1951;rws_ddl;-8.2;-48.2
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-177;1409;1951;rws_ddl;-16.8;-193.8
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;NVT;NAP;-78;2916;1951;rws_ddl;-16.8;-94.8
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-148;1409;1951;rws_ddl;NA;NA
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-73;1409;1951;rws_ddl;-6.5;-79.5
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;NVT;NAP;-13;2916;1951;rws_ddl;-6.5;-19.5
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-94;1976;1951;rws_ddl;-27.7;-121.7
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;NVT;NAP;-28;2916;1951;rws_ddl;-27.7;-55.7
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-65;1409;1951;rws_ddl;NA;NA
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;NVT;NAP;19;2916;1951;rws_ddl;NA;NA
Maassluis;MAASSS;Vlotter;Waterhoogte;cm;GETETM2;NAP;163;1408;1951;rws_ddl;NA;NA
Nieuwe Statenzijl;NIEUWSTZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;1290;704;1951;rws_ddl;-3.2;1286.8
Oudeschild;OUDSD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-127;1409;1951;rws_ddl;-20.3;-147.3
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-119;1409;1951;rws_ddl;-21.7;-140.7
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;NVT;NAP;-55;2916;1951;rws_ddl;-21.7;-76.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;54;1409;1951;rws_ddl;-29.7;24.3
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;NVT;NAP;-51;2916;1951;rws_ddl;-29.7;-80.7
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-112;1408;1951;rws_ddl;-21.4;-133.4
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;NVT;NAP;-41;2916;1951;rws_ddl;-21.4;-62.4
