grootheid.code,hoedanigheid.code,locatie.naam,locatie.code,
WATHTE,MSL,D15 platform,D15,Noordzee
WATHTE,MSL,K13 Alpha,K13,Noordzee
WATHTE,MSL,J6 platform,J6,Noordzee
WATHTE,MSL,Europlatform 2,EPL2,Noordzee
WATHTE,MSL,K14 platform,K14,Noordzee
WATHTE,MSL,AWG platform,AWG,Noordzee
WATHTE,MSL,Hollandse Kust West Alpha,HKWA,Noordzee
WATHTE,MSL,Lichteiland Goeree,LICHTELGRE,Noordzee
WATHTE,MSL,Borssele Alpha,BSA,Noordzee
WATHTE,MSL,L9 platform,L9PFM,Noordzee
WATHTE,MSL,K14 platform,K14PFM,Noordzee
WATHTE,MSL,Platform HKZA,HKZA,Noordzee
WATHTE,MSL,L9 platform,L9,Noordzee
WATHTE,NAP,Den Helder,DENH,Noordzee
WATHTE,NAP,Lichteiland Goeree,LICHTELGRE,Noordzee
WATHTE,NAP,Cadzand,CADZD,Noordzee
WATHTE,NAP,Oosterschelde 11,OS11,Oosterschelde
WATHTE,NAP,Texel Noordzee,TEXNZE,Noordzee
WATHTE,NAP,Kornwerderzand buiten,KOBU,Waddenzee
WATHTE,NAP,Stellendam buiten,STEL,Noordzee
WATHTE,NAP,Oudeschild,OUDSD,Waddenzee
WATHTE,NAP,Delfzijl,DELFZL,Waddenzee
WATHTE,NAP,Roompotsluis (SVKO),RPSL,Noordzee
WATHTE,NAP,Scheveningen,SCHE,Noordzee
WATHTE,NAP,Stroommeetpaal Eemshaven,SPE,Waddenzee
WATHTE,NAP,Schiermonnikoog,SCHIERMNOG,Waddenzee
WATHTE,NAP,Vlieland haven,VLIE,Waddenzee
WATHTE,NAP,Oosterschelde 11,OOSTSDE11,Oosterschelde
WATHTE,NAP,Harlingen,HARLGN,Waddenzee
WATHTE,NAP,West-Terschelling,WESTTSLG,Waddenzee
WATHTE,NAP,Maassluis,MAASSS,Noordzee
WATHTE,NAP,Vlissingen,VLISSGN,Noordzee
WATHTE,NAP,Vlakte v/d Raan,VR,Noordzee
WATHTE,NAP,Oosterschelde 14,OS14,Oosterschelde
WATHTE,NAP,Harlingen,HARL,Waddenzee
WATHTE,NAP,Nes,NES,Waddenzee
WATHTE,NAP,Vlieland haven,VLIELHVN,Waddenzee
WATHTE,NAP,Lichteiland Goeree,LEG,Noordzee
WATHTE,NAP,Oosterschelde 14,OOSTSDE14,Noordzee
WATHTE,NAP,Europlatform 2,EPL2,Noordzee
WATHTE,NAP,Delfzijl,DLFZ,Waddenzee
WATHTE,NAP,Terschelling Noordzee,TERSLNZE,Noordzee
WATHTE,NAP,Huibertgat,HUIB,Noordzee
WATHTE,NAP,Den Helder,DENHDR,Waddenzee
WATHTE,NAP,Den Oever buiten,OEBU,Waddenzee
WATHTE,NAP,Holwerd,HOLWD,Waddenzee
WATHTE,NAP,Vlissingen,VLIS,Noordzee
WATHTE,NAP,Lauwersoog,LAUWOG,Waddenzee
WATHTE,NAP,Cadzand,CADZ,Noordzee
WATHTE,NAP,West-Terschelling,WTER,Waddenzee
WATHTE,NAP,Uithuizerwad 2,UHW2,Waddenzee
WATHTE,NAP,Hoek van Holland,HOEKVHLD,Noordzee
WATHTE,NAP,Maassluis,MAAS,Noordzee
WATHTE,NAP,Stellendam buiten,STELLDBTN,Noordzee
WATHTE,NAP,Lauwersoog,LAUW,Waddenzee
WATHTE,NAP,Hoek van Holland,HOEK,Noordzee
WATHTE,NAP,Nieuwe Statenzijl,NWST,Waddenzee
WATHTE,NAP,Nieuwe Statenzijl,NIEUWSTZL,Waddenzee
WATHTE,NAP,Termunterzijl,TERM,Waddenzee
WATHTE,NAP,Oosterschelde 4,OS4,Oosterschelde
WATHTE,NAP,Haringvliet 10,HARVT10,Noordzee
WATHTE,NAP,Holwerd,HOLW,Waddenzee
WATHTE,NAP,Kornwerderzand buiten,KORNWDZBTN,Waddenzee
WATHTE,NAP,Haringvliet 10,HA10,Noordzee
WATHTE,NAP,Scheveningen,SCHEVNGN,Noordzee
WATHTE,NAP,Terschelling Noordzee,TERS,Noordzee
WATHTE,NAP,Huibertgat,HUIBGT,Waddenzee
WATHTE,NAP,Oudeschild,OUDE,Waddenzee
WATHTE,NAP,IJmuiden buitenhaven,IJMDBTHVN,Noordzee
WATHTE,NAP,Texel Noordzee,TEXE,Noordzee
WATHTE,NAP,Den Oever buiten,DENOVBTN,Waddenzee
WATHTE,NAP,Schiermonnikoog,SCHI,Waddenzee
