year,locatie.code,locatie.naam
2024,AWG,AWG platform
2024,BSA,Borssele Alpha
2024,CADZ,Cadzand
1900,CADZD,Cadzand
1901,CADZD,Cadzand
1902,CADZD,Cadzand
1903,CADZD,Cadzand
1904,CADZD,Cadzand
1905,CADZD,Cadzand
1924,CADZD,Cadzand
1925,CADZD,Cadzand
1926,CADZD,Cadzand
1927,CADZD,Cadzand
1928,CADZD,Cadzand
1929,CADZD,Cadzand
1950,CADZD,Cadzand
1951,CADZD,Cadzand
1952,CADZD,Cadzand
1953,CADZD,Cadzand
1954,CADZD,Cadzand
1955,CADZD,Cadzand
1956,CADZD,Cadzand
1957,CADZD,Cadzand
1958,CADZD,Cadzand
1959,CADZD,Cadzand
1960,CADZD,Cadzand
1961,CADZD,Cadzand
1962,CADZD,Cadzand
1963,CADZD,Cadzand
1964,CADZD,Cadzand
1965,CADZD,Cadzand
1966,CADZD,Cadzand
1967,CADZD,Cadzand
1968,CADZD,Cadzand
1969,CADZD,Cadzand
1970,CADZD,Cadzand
1971,CADZD,Cadzand
1972,CADZD,Cadzand
1973,CADZD,Cadzand
1974,CADZD,Cadzand
1975,CADZD,Cadzand
1976,CADZD,Cadzand
1977,CADZD,Cadzand
1978,CADZD,Cadzand
1979,CADZD,Cadzand
1980,CADZD,Cadzand
1981,CADZD,Cadzand
1982,CADZD,Cadzand
1983,CADZD,Cadzand
1984,CADZD,Cadzand
1985,CADZD,Cadzand
1986,CADZD,Cadzand
1987,CADZD,Cadzand
1988,CADZD,Cadzand
1989,CADZD,Cadzand
1990,CADZD,Cadzand
1991,CADZD,Cadzand
1992,CADZD,Cadzand
1993,CADZD,Cadzand
1994,CADZD,Cadzand
1995,CADZD,Cadzand
1996,CADZD,Cadzand
1997,CADZD,Cadzand
1998,CADZD,Cadzand
1999,CADZD,Cadzand
2000,CADZD,Cadzand
2001,CADZD,Cadzand
2002,CADZD,Cadzand
2003,CADZD,Cadzand
2004,CADZD,Cadzand
2005,CADZD,Cadzand
2006,CADZD,Cadzand
