stationname	Gebied
Cadzand	Noordzee
Vlakte v/d Raan	Noordzee
Westcapelle	Noordzee
Borssele Alpha	Noordzee
Borssele Alpha platform	Noordzee
Borssele	Noordzee
Borssele	Noordzee
GatÿvanÿBorssele	Noordzee
Oosterschelde 11	Zuidwestelijke delta
Roompotsluis (SVKO)	Zuidwestelijke delta
Oosterscheldeÿ04	Zuidwestelijke delta
Oosterschelde 4	Zuidwestelijke delta
Oosterscheldeÿ4ÿ(b)	Zuidwestelijke delta
Oosterschelde 14	Zuidwestelijke delta
Brouwershavensegat 2	Zuidwestelijke delta
Brouwershavensegat 8	Zuidwestelijke delta
"BrouwershavenscheÿGat,ÿpuntÿ02"	Zuidwestelijke delta
BrouwershavenscheÿGatÿ08	Zuidwestelijke delta
Haringvliet 10	Zuidwestelijke delta
Stellendam buiten	Zuidwestelijke delta
Lichteiland Goeree	Noordzee
Europlatform 2	Noordzee
Europlatform	Noordzee
Hoek van Holland	Noordzee
Maassluis	Noordzee
Scheveningen	Noordzee
Platform HKZA	Noordzee
Hollandse Kust West Alpha	Noordzee
IJmuiden buitenhaven	Noordzee
Den Helder	Noordzee
Texel Noordzee	Noordzee
K13 Alpha	Noordzee
K13aÿplatform	Noordzee
K14 platform	Noordzee
L9 platform	Noordzee
J6 platform	Noordzee
PlatformÿJ6	Noordzee
D15 platform	Noordzee
PlatformÿD15-A	Noordzee
Terschelling Noordzee	Noordzee
AWG platform	Noordzee
Wierumergronden	Noordzee
Huibertgat	Noordzee
Oudeschild	Waddenzee
Den Oever buiten	Waddenzee
Kornwerderzand buiten	Waddenzee
Vlieland haven	Waddenzee
West-Terschelling	Waddenzee
Nes	Waddenzee
Holwerd	Waddenzee
Schiermonnikoog	Waddenzee
Lauwersoog	Waddenzee
Uithuizerwad 2	Waddenzee
Stroommeetpaal Eemshaven	Waddenzee
Eemshavenÿstroommeetpaal	Noordzee
Delfzijl	Waddenzee
Termunterzijl	Waddenzee
Nieuwe Statenzijl	Waddenzee
Vlissingen	Noordzee
IJmuiden	Noordzee
IJmuidenÿBuitenhaven	Noordzee
IJmuidenÿbuitenhaven	Noordzee
IJmuidenÿstroommeetpaal	Noordzee
Harlingen	Noordzee
