coordinatenstelsel;x;y;locatie.naam;locatie.code
25831;571099,371000000;5797090,13800000;Platform HKZA;HKZA
25831;630087,998728811;5942671,15254043;L9 platform;L9
25831;495663,241516565;6018756,72170369;D15 platform;D15
25831;518884,956000000;5760829,35600000;Europlatform 2;EPL2
25831;514618,822878979;5896433,91304204;K13 Alpha;K13
25831;496708,794769268;5963121,52220118;J6 platform;J6
25831;542240,426001170;5902123,13674842;K14 platform;K14
25831;554395,196000000;5836952,29100000;Hollandse Kust West Alpha;HKWA
25831;695106,580803760;5930990,21887629;AWG platform;AWG
25831;545961,127266837;5752910,19443196;Lichteiland Goeree;LICHTELGRE
25831;630087,983857614;5942670,89238510;L9 platform;L9PFM
25831;503918,942357358;5727664,94973239;Borssele Alpha;BSA
25831;542240,651602916;5902122,76790182;K14 platform;K14PFM
25831;780831,821762266;5906307,02154602;Nieuwe Statenzijl;NWST
25831;576917,675576278;5759136,13463449;Hoek van Holland;HOEK
25831;780777,164603806;5906295,05383564;Nieuwe Statenzijl;NIEUWSTZL
25831;571218,735530184;5742305,05661630;Stellendam buiten;STELLDBTN
25831;585869,858693268;5752617,79825946;Maassluis;MAAS
25831;712485,362427151;5922496,96218518;Lauwersoog;LAUW
25831;691227,709999519;5920843,20888694;Holwerd;HOLW
25831;769050,093395707;5913460,60704771;Termunterzijl;TERM
25831;585954,633446961;5752601,14950974;Maassluis;MAASSS
25831;656546,856355365;5882594,51127771;Kornwerderzand buiten;KORNWDZBTN
25831;548004,476484997;5722993,34058284;Oosterschelde 4;OS4
25831;586550,994420996;5772806,43069697;Scheveningen;SCHEVNGN
25831;559257,920324957;5746126,31286091;Haringvliet 10;HA10
25831;655016,251709493;5922412,47580659;Terschelling Noordzee;TERS
25831;624112,288320664;5878437,18294564;Oudeschild;OUDE
25831;724996,318367682;5941470,29950496;Huibertgat;HUIBGT
25831;605633,035699228;5813598,03897256;IJmuiden buitenhaven;IJMDBTHVN
25831;559271,530521468;5746165,90962144;Haringvliet 10;HARVT10
25831;617197,181789736;5886477,14936278;Texel Noordzee;TEXE
25831;637489,769006044;5866613,42467243;Den Oever buiten;DENOVBTN
25831;712630,911327752;5929208,21009008;Schiermonnikoog;SCHI
25831;656430,583586584;5882780,82203517;Kornwerderzand buiten;KOBU
25831;617120,700586658;5869664,28145237;Den Helder;DENH
25831;526187,137510970;5692072,82178380;Cadzand;CADZD
25831;571218,768778459;5742305,12707703;Stellendam buiten;STEL
25831;533236,344108633;5721474,36805786;Oosterschelde 11;OS11
25831;615985,879865700;5887091,15702179;Texel Noordzee;TEXNZE
25831;624049,675784305;5878191,29858548;Oudeschild;OUDSD
25831;753602,882692460;5931845,61703770;Stroommeetpaal Eemshaven;SPE
25831;586551,020314752;5772806,49292637;Scheveningen;SCHE
25831;712579,947805165;5929214,55263608;Schiermonnikoog;SCHIERMNOG
25831;761899,770959577;5915790,48491405;Delfzijl;DELFZL
25831;547230,972543146;5718947,29112422;Roompotsluis (SVKO);RPSL
25831;639430,974073676;5907184,53328800;Vlieland haven;VLIE
25831;661021,585505255;5894519,40967015;Harlingen;HARLGN
25831;533286,714217140;5721427,95896459;Oosterschelde 11;OOSTSDE11
25831;546063,014918327;5752991,39166245;Lichteiland Goeree;LEG
25831;761913,320818121;5915831,92602204;Delfzijl;DLFZ
25831;724996,335864394;5941470,27035890;Huibertgat;HUIB
25831;585853,682000000;5752598,83500000;Maassluis;MAASSS
25831;683288,335482817;5923648,18977766;Nes;NES
25831;541425,983214885;5699181,90968435;Vlissingen;VLISSGN
25831;639387,325891647;5907253,09920829;Vlieland haven;VLIELHVN
25831;516800,113958171;5705870,54301260;Vlakte v/d Raan;VR
25831;661156,301158369;5894527,94615404;Harlingen;HARL
25831;546744,726668041;5730119,15086523;Oosterschelde 14;OS14
25831;647723,414001695;5914954,52555926;West-Terschelling;WESTTSLG
25831;654952,901604895;5924030,01481199;Terschelling Noordzee;TERSLNZE
25831;546689,223867086;5730284,43215617;Oosterschelde 14;OOSTSDE14
25831;617198,393684351;5869730,61030659;Den Helder;DENHDR
25831;637382,403593524;5866830,02723899;Den Oever buiten;OEBU
25831;691227,593927819;5920843,14294229;Holwerd;HOLWD
25831;541518,745919649;5699254,96425966;Vlissingen;VLIS
25831;712485,362631958;5922496,91752170;Lauwersoog;LAUWOG
25831;647684,020116895;5914923,77870158;West-Terschelling;WTER
25831;526380,654362930;5692139,65195593;Cadzand;CADZ
25831;683322,924393449;5923626,81910113;Nes;NES
25831;576917,669784491;5759136,15818497;Hoek van Holland;HOEKVHLD
25831;749337,071814691;5930675,34867016;Uithuizerwad 2;UHW2
