station,modeltype,term,estimate,std.error,statistic,p.value
Vlissingen,linear,Constant,-74.666,2.272,-32.868,0
Vlissingen,linear,Trend,2.244,0.056,40.213,0
Vlissingen,linear,u_nodal,5.839,3.082,1.894,0.06
Vlissingen,linear,v_nodal,-14.229,3.064,-4.644,0
Vlissingen,broken_linear,Constant,-81.265,2.923,-27.802,0
Vlissingen,broken_linear,Trend,2.073,0.073,28.221,0
Vlissingen,broken_linear,+ trend 1993,1.173,0.345,3.399,0.001
Vlissingen,broken_linear,u_nodal,5.558,2.966,1.874,0.063
Vlissingen,broken_linear,v_nodal,-13.045,2.968,-4.395,0
Vlissingen,broken_squared,Constant,-81.683,3.755,-21.752,0
Vlissingen,broken_squared,Trend,2.075,0.091,22.818,0
Vlissingen,broken_squared,+ square_trend 1960,0.007,0.003,2.325,0.022
Vlissingen,broken_squared,u_nodal,5.547,3.034,1.828,0.07
Vlissingen,broken_squared,v_nodal,-13.538,3.029,-4.47,0
Hoek van Holland,linear,Constant,-5.22,2.335,-2.235,0.027
Hoek van Holland,linear,Trend,2.443,0.057,42.584,0
Hoek van Holland,linear,u_nodal,1.427,3.169,0.45,0.653
Hoek van Holland,linear,v_nodal,-10.201,3.15,-3.238,0.002
Hoek van Holland,broken_linear,Constant,-12.287,2.994,-4.104,0
Hoek van Holland,broken_linear,Trend,2.26,0.075,30.039,0
Hoek van Holland,broken_linear,+ trend 1993,1.256,0.353,3.555,0.001
Hoek van Holland,broken_linear,u_nodal,1.126,3.038,0.371,0.712
Hoek van Holland,broken_linear,v_nodal,-8.933,3.04,-2.938,0.004
Hoek van Holland,broken_squared,Constant,-17.195,3.717,-4.626,0
Hoek van Holland,broken_squared,Trend,2.155,0.09,23.939,0
Hoek van Holland,broken_squared,+ square_trend 1960,0.012,0.003,4.009,0
Hoek van Holland,broken_squared,u_nodal,0.93,3.003,0.31,0.757
Hoek van Holland,broken_squared,v_nodal,-9.022,2.998,-3.01,0.003
Den Helder,linear,Constant,-55.171,2.468,-22.359,0
Den Helder,linear,Trend,1.619,0.061,26.714,0
Den Helder,linear,u_nodal,6.599,3.348,1.971,0.051
Den Helder,linear,v_nodal,-14.588,3.328,-4.383,0
Den Helder,broken_linear,Constant,-65.186,3.038,-21.459,0
Den Helder,broken_linear,Trend,1.36,0.076,17.817,0
Den Helder,broken_linear,+ trend 1993,1.78,0.359,4.964,0
Den Helder,broken_linear,u_nodal,6.173,3.083,2.002,0.047
Den Helder,broken_linear,v_nodal,-12.79,3.085,-4.146,0
Den Helder,broken_squared,Constant,-71.297,3.773,-18.898,0
Den Helder,broken_squared,Trend,1.232,0.091,13.48,0
Den Helder,broken_squared,+ square_trend 1960,0.017,0.003,5.318,0
Den Helder,broken_squared,u_nodal,5.93,3.049,1.945,0.054
Den Helder,broken_squared,v_nodal,-13,3.043,-4.272,0
Delfzijl,linear,Constant,32.604,2.87,11.36,0
Delfzijl,linear,Trend,2.074,0.07,29.419,0
Delfzijl,linear,u_nodal,4.009,3.894,1.03,0.305
Delfzijl,linear,v_nodal,-14.549,3.872,-3.758,0
Delfzijl,broken_linear,Constant,21.046,3.539,5.948,0
Delfzijl,broken_linear,Trend,1.775,0.089,19.961,0
