station,modeltype,jaar,gemeten waterhoogte,gecorrigeerde waterhoogte,fit
Netherlands (without Delfzijl),broken_linear,1890,-203.4,-212.16174225919514,-183.82925476108153
Netherlands (without Delfzijl),broken_linear,1891,-189.4,-200.20125729740369,-181.99830531650417
Netherlands (without Delfzijl),broken_linear,1892,-174.4,-186.02157708551314,-180.16735587192676
Netherlands (without Delfzijl),broken_linear,1893,-154,-165.13010777433655,-178.33640642734937
Netherlands (without Delfzijl),broken_linear,1894,-147,-156.38232411401248,-176.505456982772
Netherlands (without Delfzijl),broken_linear,1895,-182,-188.5755077244668,-174.6745075381946
Netherlands (without Delfzijl),broken_linear,1896,-197.6,-200.62647887169365,-172.84355809361722
Netherlands (without Delfzijl),broken_linear,1897,-190.8,-189.9358352824785,-171.01260864903978
Netherlands (without Delfzijl),broken_linear,1898,-153,-148.34273455238582,-169.18165920446242
Netherlands (without Delfzijl),broken_linear,1899,-151,-143.0753240966602,-167.35070975988504
Netherlands (without Delfzijl),broken_linear,1900,-189.4,-179.10241387862908,-165.51976031530762
Netherlands (without Delfzijl),broken_linear,1901,-210.2,-198.691846871298,-163.68881087073024
Netherlands (without Delfzijl),broken_linear,1902,-238,-226.58026619913173,-161.85786142615285
Netherlands (without Delfzijl),broken_linear,1903,-129.4,-119.35769150321987,-160.02691198157547
Netherlands (without Delfzijl),broken_linear,1904,-155.4,-147.8686454773682,-158.19596253699805
Netherlands (without Delfzijl),broken_linear,1905,-172.8,-168.62970341700694,-156.36501309242067
Netherlands (without Delfzijl),broken_linear,1906,-144.8,-144.4614848701677,-154.53406364784328
Netherlands (without Delfzijl),broken_linear,1907,-169.2,-172.73147632305484,-152.70311420326587
Netherlands (without Delfzijl),broken_linear,1908,-179.2,-186.20285129636414,-150.87216475868848
Netherlands (without Delfzijl),broken_linear,1909,-128.2,-137.88377726891406,-149.04121531411107
Netherlands (without Delfzijl),broken_linear,1910,-119.2,-130.47164389437154,-147.2102658695337
Netherlands (without Delfzijl),broken_linear,1911,-148,-159.5872202374626,-145.3793164249563
Netherlands (without Delfzijl),broken_linear,1912,-87,-97.59488552109187,-143.54836698037892
Netherlands (without Delfzijl),broken_linear,1913,-109.6,-118.00664983254782,-141.71741753580153
Netherlands (without Delfzijl),broken_linear,1914,-95.8,-101.0695109503402,-139.8864680912241
